Peranc. Dan implementasi M-SEV software aplikasi pengisian pulsa elektrik dgn OOD;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancang User Interface Aplikasi Mobile Untuk Mencari Rute Lokasi Terdekat Mendistribusikan Ternak Jangkrik;Herman Yuliansyah, S.T., M.Eng.;Fiftin Noviyanto, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Perancangan & Pengembangan Aplikasi Mobile Android E-Collection Untuk Pencatatan Data Cicilan Kredit Nasabah Bank BPR Yogyakarta;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Perancangan Animasi Wayang Interaktif Sebagai Media Pembelajaran AIK (Al Islam dan Kemuhammadiyahan);Drs. Wahyu Pujiono, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Aplikasi Data Warehouse pada Pasien Rawat Jalan Rumah Sakit;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Perancangan Aplikasi Multimedia Untuk Penyajian Informasi Candi Prmbanan;Drs. Muchlas, M.T.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
"Perancangan Arsitektur Enterprise dengan Kerangka Kerja Zachman di Kantor PP Muhammadiyah Yk-Studi Kasus ; Majlis Pendidikan Tinggi PP Muhammadiyah Yogyakarta)";Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan Arsitektur Enterprise Pada Koperasi Mahasiswa Dengan Kerangka Zachman Framework (Study Kasus KOPMA UAD);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancangan Dan Analisis VPN (Virtual Private Network) Menggunakan L2TP Pada Kantor L2TP (Layer 2 Tunneling Protocol) Pada Kantor Pemasaran BPJS Yogyakarta;Dr. Imam Riyadi, M.Kom.;Herman Yuliansyah, S.T., M.Eng.;Taufiq Ismail, S.T., M.Cs.
"Perancangan dan Desain Film Animasi 3D ""Sholihun"" berabasis software opensource";Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Perancangan dan Implementasi Media Pembelajaran Dengan Topik Penyusunan Paragraf Kalimat Bahasa Indonesia Untuk SD Kelas 5;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Perancangan dan Implementasi Pembelajaran dengan Topik Bilangan Cacah 1 - 20 untuk SD Kelas 1 ;Drs. Wahyu Pujiyono, M. Kom.;Sri Handayaningsih, S.T., M.T.;Murinto, S.Si., M.Kom.
Perancangan dan Implementasi Pembelajaran Kriptografi Metode Simetrik Rijndoel Berbasis Web.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan dan Implementasi Pembelajaran Perkalian dan Pembagian Untuk Sekolah Dasar Kelas 2;Drs. Wahyu Pujiyono, M.Kom..;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Perancangan dan Implementasi Pendukung Keputusan (Sistem Pendukung Keputusan) Penentuan Jenis dan Kualitas Kulit Hewan;Sri Winiarti, S.T., M.Cs.;Dewi Pramudi Ismi, S.T., M.CompSc;Adhi Prahara, S.Si., M.Cs.
Perancangan dan Implementasi Perangkat Luna Belajar Dasar Bahasa Mandarin.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan dan Implementasi Sistem Pembelajaran Bahasa Indonesia dengan Topik  Kata Imbuhan Untuk SD Kelas V;Drs. Wahyu Pujiyono, M. Kom.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Perancangan dan Implementasi Sistem Pembelajaran dengan Topik Penjumlahan dan Pengurangan dan Operasi Hitung Campuran untuk SD kelas 2;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Perancangan dan Implementasi Sistem Pembelajaran dengan Topik Struktur Kalimat Bahasa Indonesia Untuk SD Kelas IV;Drs. Wahyu Pujiyono, M. Kom.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Perancangan dan Implementasi Try Out (Uji Coba) SNMPTN (Seleksi Nasional Masuk Perguruan Tinggi Negeri) Online pada Android;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan dan Implementasi Web E-Commerce Pemesanan dan Penjualan Fanshion pada Bali Island;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Perancangan dan Pembuatan Aplikasi Parama Satra Kamus Bahasa Jawa;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Perancangan dan Pembuatan Keamanan Swicth dan Hub dengan Metode Session Hijacking di SMK N 2 Wonosari Gunung Kidul.;Dr. Abdul Fadlil, M.T.;Eko Aribowo, S.T., M.Kom.;Dr. Imam Riyadi, M.Kom.
Perancangan dan Pembuatan Perangkat Lunak bantu Pencarian Ruang Keadaan dan Penyelesaian Masalah dengan Pendekatan Kecerdasan Buatan;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T;Murinto, S.Si., M.Kom.
Perancangan dan Pengembangan Aplikasi Pembelajaran Matematika Tentang Pengukuran Waktu, Panjang dan Berat Untuk Sekolah Dasar Kelas 2;Drs. Wahyu Pujiyono, M.Kom..;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Perancangan Data Dan Informasi Untuk Sistem Informasi Eksekutif Kegiatan Perkuliahan Program Studi Menggunakan Kerangka Kerja Zachman Di UAD;Sri Handayaningsih, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.
Perancangan Enterprise Architecture dengan Kerangka Kerja Zachman di Kementrian Agama Wilayah Yogyakarta;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancangan Enterprise Architecture Planning (EAP) pada Proses Manajemen Aset dengan Zachman Framework (Studi Kasus Divisi Manajemen Fasilitas PT. XYZ);Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan Enterprise Architecture Planning Untuk Strategi sistem Informasi Asisten Administrasi Umum Dengan Kerangka Kerja Beam;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancangan Enterprise Re Source Planning Badan Keuangan dan Akuntansi di PT. Surveyor Indonesia;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan Enterprise Resource Planning di Madu Baru.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan Implementasi Pembelajaran dengan Topik Penjumlahan dan Pengurangan Bilangan Dua Digit untuk SD kelas 1;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Perancangan kamus istilah informatika dan komputer dilengkapi fungsi auto-suggest;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Media Informasi Berbasis Web dengan Menggunakan Audio Visual Terhadap Objek Wisata Malioboro;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Media Informasi Rumah Makan Waroeng Pohon Dalam Bentuk Video Compani Profile dan Video Iklan Berbasis Mobile;Drs. Wahyu Pujiono, M.Kom.;Taufiq Ismail, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Perancangan Model Enterprise Architecture Planning BTM  Surya Dengan Kerangka Kerja Zachman;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Perancangan Model SCM (Supply Chain Management) Menggunakan Metode Economic Order Quantity dengan Klasifikasi ABC pada CV. Batik Indah Rara Jonggrang;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancangan Model SI/TI dengan Pendekatan Supply Chain Management pada CV Alas Djogja;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perancangan Model Supply Chain Managemen Untuk Pengadaan dan Pengendalian Barang Pada CV. Devi Dental;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Perancangan Pembanguan Enterprise Architecture Planning Menggunakan Metode Togaf ADM Di Dinas Pendidikan Dasar Bantul;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.
Perancangan Perangkat Lunak Pembelajaran Struktur Data Pohon Ekspresi (Expression Tree);Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Program Aplikasi untuk Menganalisis Tren Penjualan dan Menentukan Stock Barang Menggunakan Metode Time Series;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Perancangan SCM dengan Analisis Balance Scorecard pada PD Dhanar.;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Perancangan SIG Berbasis Web Untuk Survelans Penyakit Malaria di Dinas Kesehatan Kab. Kulon Progo.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Perancangan Sistem Informasi Apotek Berbasis Kepuasan Pelanggan;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Perancangan Sistem Informasi Bantu Pendeteksian Dioni Perilaku Penyimpangan Seksual Berbasis Web;Nur Rochmah DPA, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
Perancangan Sistem Informasi Pariwisata Dan Reservasi Tempat Wisata Kabupaten Purbalingga Berbasis Web;Arfiani Nur Khusna, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Perancangan Sistem Informasi Penjualan Berbasis Website Untuk Membantu Meningkatkan Kualitas Pemasaran dan Produksi;Nur Rochmah DPA, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Sistem Informasi Penjualan Suku Cadang Mobil Berbasis Web (SK Toko Utama Motor);Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Perancangan Sistem Informasi Rawat Inap Menggunakan Teknologi Berbasis Web Studi Kasus Di RSUD Pandan Arang Boyolali;Ali Tarmuji, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Sistem Informatika Penilaian Kinerja Tri Dharma Dosen Berbasis SMS Gateway Di FTI UAD;Kartika Firdaus, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Perancangan Sistem Pakar untuk Mendeteksi Hama dan Penyakit pada Tanaman Cengkeh Berbasis Website;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Perancangan Strategis Sistem Informasi dan Teknologi Informasi Menggunakan Konsep Suplly Chain Management;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Perancangan Tata Kelola Teknologi Informasi pada Proses Pengelolaan Sumber Daya Manusia TI Berbasis Cobit 4.1;Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Perancangan tata kelola teknologi Informasi Studi kasus PT. XYZ Indonesia;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Perancangan User Interface Gam Portal Akademik UAD Menggunakan Metode Task Centerd Design (TCSD);Adhi Prahara, S.Si., M.Cs.;Eko Aribowo, S.T., M.Kom;Fiftin Noviyanto, S.T., M.Cs.
Perancangan Web E-Commerce yang Terintegrasi dengan market Basket Analysis;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Perangkat Lunak Bantu Untuk Pembelajaran Pengenalan  Satwa Indonesia Untuk Anak Sekolah Dasar;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Perangkat Lunak Bantu Untuk Pembelajaran Pengenalan Pahlawan Indonesia Untuk Anak Sekolah Dasar;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Perbaikan User Interface (UI) Pada Sistem Informasi CDC UNY Dengan Metode User Centered Design (UCD) Dan Berdasarkan Hasil Pengukuran TAM Hasil Kemanfaatan Sistem Terhadap Pengguna;Sri Handayaningsih, S.T., M.T.;Herman Yuliansyah, ST., M.Eng;Drs. Tedy Setiadi, M.T.
Perbandingan Manajemen Bandwidth Menggunakan metodr Scheduler;Dr. Imam Riyadi, M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Perencanaan Arsitektur Enterprise Menggunakan metodologi Zachman Framework (studi kasus : LPP);Sri Handayaningsih, S.T., M.T.;Tawar AG, S.Si., M.Kom.;Arif Rachman, S.Si., M.T.
Perencanaan dan Implementasi Sistem Pembelajaran dengan Topik Struktur Kalimat Bahasa Arab untuk Kelas VIII smtr 1;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Perencanaan dan Pembuatan Template Pembelajaran Peta Buta Berbasis Multimedia;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs;Fiftin Noviyanto, S.T., M.Cs.
Perencanaan Sistem Informasi di Fakultas Teknologi Industri Universitas Ahmad Dahlan Menggunakan Kerangka Kerja Zachman.;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Portal Web Berbasis E-Market Place Untuk Meningkatkan Kemudahan Pelanggan Dalam Menyewa Mobil;Fiftin Novianto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.
Porting Media Pembelajaran dari desktop ke Android Mobile;Drs. Wahyu Pujiyono, M. Kom.;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Prediksi Konsumsi Listrik pada IKM Winner Glove Menggunakan Metode Backpropagation;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Prediksi Laju Pertumbuhan Penduduk di Kabupaten Sleman dengan Metode Adaptive Neuro - Fuzzy Inference (ANFIS) dan metode sugeno;Andri Pranolo, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Prediksi Lama Studi S1 Dari Mahasiswa Teknik Informatika Universitas Ahmad Dahlan Berdasarkan Prestasi Akademik Di Tahun Menggunakan Metode Native Bayes;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;LIsna Zahrotun, S.T., M.Cs.
Presensi Elektronik menggunaan KTM untuk mengatasi Manipulasi Presensi;Dewi Soyusiawaty, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Profil Pariwisata dan Budaya Kota Pontianak dengan 2 Bahasa Berbasis Multimedia;Dr. Abdul Fadlil, M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Proses dan Dampak Keberhasilan SEO Onpage Offpage Terhadap Pagerank, Index dan Visitor Untuk Fresh Website;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Prototipe Perancangan Sistem Pakar Untuk Diagnosa Hama dan Penyakit Pada Tanaman Pertanian Organik Dengan Metode Theorema Bayes berbasis Web;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ali Tarmuji, S.T., M.Cs.
Rancang Bangtun Sistem Informasi Pemesanan Tiket Bus Berbasis Web dan SMS Gateway;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Rancang Bangun Aplikasi Android Berbasis Lokasi Untuk Pencarian Distribution Point (DP) (Studi Kasus PT. Telkom Indonesia Kandatel Pati Jawa Tengah);Herman Yuliansyah, S.T., M.Eng.;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Android Pelayanan Customer Terhadap Perbaikan dan Penyewaan AC di Twin Engineering;Taufiq Ismail, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Rancang Bangun Aplikasi Android Special Interest Group (SIG) Di Teknik Informatika Universitas Ahmad Dahlan Yogyakarta Dengan Metode Google Google Cloud Messaging (GCM);Herman Yuliansyah, S.T., M.Eng.;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Androit Untuk Observasi Lintang Kartika Dengan Pemanfaatan GPS (Studi Kasus Pusat Studi Astronomi Universitas Ahmad Dahlan);Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi CRM Berbasis Web pada Desain dan Exterior.;Dr. Imam Riyadi, M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Rancang Bangun Aplikasi Customer Relationship Management (CRM) Pada XT Square Yogyakarta;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Rancang Bangun Aplikasi Data Mining Menggunakan Metode Clustering AHC dan Time Series Linier pada Data Transaksi Penjualan;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Rancang bangun aplikasi e-kos Yogyakarta berbasis web menggunakan konsep IRM (Information Resource Management);Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Rancang Bangun Aplikasi Enkripsi dan Dekripsi SMS Pada Mobile Dengan Algoritma ADVGVX Product Chiper Berbasis J2ME;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Rancang Bangun Aplikasi Enkripsi Deskripsi Pada SMS Dengan Algoritma CBC  Berbasis Android;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Rancang Bangun Aplikasi Event Seni Budaya dan Olahraga di LSBO (Lembaga Seni dan Budaya Olahraga) PP Muhammadiyah Yogyakarta Berbasis Android Menggunakan Metode Alerting dan LBS;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Game Dam-daman Multiplayer sebagai Permainan Tradisional.;Mursid WH, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Rancang bangun Aplikasi Game Rubik Menggunakan Algoritma Backtracking dan Greedy Memanfaatkan API Open GL;Drs. Tedy Setiadi, M.T.;Mursid WH, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Rancang Bangun Aplikasi Healthy Lifestyle Untuk Mengukur Perkembangan Balita Berbasis Android Dengan Metode Indikator Antropometri;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Rancang Bangun Aplikasi Lecture Notification dengan Identifikasi Presensi Menggunakan Teknologi RFID;Fiftin Novianto, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Market Place Restoran di Jogjakarta Berbasis Web Moblile;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Rancang Bangun Aplikasi Media Pembelajaran Berbasis Multimedia Interaktif untuk Pengembangan Belajar Mandiri pada Matakuliah Statistika Materi Analisis Regresilinier Sederhana dan Korelasi (Studi Kasus Pro di PG PAUD Universitas Terbuka);Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Mobile Pencarian Traffic Light PT. Qumicon Indonesia;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Rancang Bangun Aplikasi Mobile Pendampingan Ternak Jangkrik Menggunakan Metode Android Cloud to Device Masaging (AC2DM) di UMKM Bos Jangkrik Jogja;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Mobile Room Chatt Menggunakan Koneksi Bluetooth;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Mobile Untuk Monitoring Task Dan Komunikasi Daily Scrum Pada Scrum Project Management;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang bangun aplikasi model kuisoner penilaian aktivitas pengajaran dosen oleh mahasiswa;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Aplikasi Obyek Wisata Berdasarkan Radius Terdekat Di Yogyakarta Berbasis Android Dan Disertai Petunjuk Arah Menggunakan GPS;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Rancang Bangun Aplikasi Pemantauan Hasil Karet E- Toke Untuk Menjamin Validalitas dan Efisiensi Laporan Pendapatan;Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Pembelajaran Tajwid Berbasis Android dengan Menggunakan Teknik Cloud Computing;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Pembuatan KTM Dengan Fitur QR Code Sebagai Media Presensi Mahasiswa Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Rancang Bangun Aplikasi Penentuan dan Perhitungan Proses Tanam dan Panen Pada Balai Pertanian Berdasarkan data Service BMKG Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Rancang Bangun Aplikasi Pengenalan Tanaman Obat Berbasis Web (SK : Pengenalan Tanaman Obat di B2P2To - OT Tawangmangu);Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Rancang Bangun Aplikasi Pengiriman Pesan Melalui Email Client Menggunakan Konsep Kriptografi Cipher Block Chaining (CBC) Termodifikasi Berbasis Mobile Android;Nur Rochmah DPA, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Rancang Bangun Aplikasi Pola Hidup Sehat ntuk Penderita Diabetes Melitus Berbasis Mobile Dengan Metode Alarm Notification;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Tracking Berkas Yudisium Berbasis Native Mobile;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Rancang Bangun Aplikasi Traffic Counter Memanfaatkan  RFID (Radio Frequency Identification);Herman Yuliansyah, S.T., M.Eng.;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Aplikasi Web Backend Sebagai Administrator Untuk Pemesanan Menu Di Restoran Berbasis Web Service;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Rancang Bangun Aplikasi Web Untuk Manajemen Proyek Berbasis SCRUM;Herman Yuliansyah, S.T., M.Eng.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Rancang bangun aplikasi web untuk membantu proses belajar mahasiswa teknik informatika UAD pada mata kuliah matematika diskret materi kombinatorik;Herman Yuliansyah, S.T., M.Eng.;Fiftin Noviyanto, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Rancang Bangun Bahan Ajar Berbasis Website Multimedia dengan Teknik Motion Graphics;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Rancang Bangun Broadcast Mangement Sistem (BMS) SMS Berbasis Web Dalam Sistem Informasi Management Sumber Daya Mnausia (SDM) Perguruan Tinggi;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Rancang Bangun Cerita Rakyat Jaka Tingkir Berbasis Flash;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Yana Hendriana, S.T., M.Eng.
Rancang bangun Digital Library Multi Server Dengan Teknologi Web Service;Fiftin Novianto, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Ardiansyah, S.T., M.Cs.
Rancang Bangun E-Library Menggunakan Teknologi Web Services (Studi Kasus SMK Negeri 5 Yogyakarta);Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Rancang bangun forensik whatsapp messenger berbasis android;Dr. Imam Riyadi, M.Kom.;Taufiq Ismail, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Rancang Bangun Manajemen Sistem Parkir UAD Berbasis Mobile;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Rancang Bangun Media Informasi Pelayanan Kantor Samsat Kota Yogyakarta Berbasis Mobile Dengan Push Notification;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Mushlihuddin, S.T., M.T.
